"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","5","1.8","1.0","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","1","6","2.5","1.0","2.0","0.0"
"3","1","","Alvin Kamara","NO","RB3","9","1","17","3.2","2.3","3.0","0.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","1","59","5.8","7.4","4.0","0.0"
"5","2","","David Johnson","ARI","RB5","12","1","31","7.7","6.2","5.0","0.0"
"6","2","","DeAndre Hopkins","HOU","WR1","10","5","20","8.8","2.4","6.0","0.0"
"7","2","","Travis Kelce","KC","TE1","12","7","22","9.4","3.1","14.0","+7.0"
"8","2","","Davante Adams","GB","WR2","11","5","24","9.6","3.6","8.0","0.0"
"9","2","","Julio Jones","ATL","WR3","9","5","32","10.7","3.4","10.0","+1.0"
"10","2","","Michael Thomas","NO","WR4","9","5","34","12.6","4.9","9.0","-1.0"
"11","2","","James Conner","PIT","RB6","7","2","44","13.6","6.8","11.0","0.0"
"12","2","","Le'Veon Bell","NYJ","RB7","4","2","44","13.7","8.3","7.0","-5.0"
"13","2","","Odell Beckham Jr.","CLE","WR5","7","7","30","13.8","4.1","12.0","-1.0"
"14","3","","JuJu Smith-Schuster","PIT","WR6","7","6","34","14.4","4.6","16.0","+2.0"
"15","3","","Joe Mixon","CIN","RB8","9","5","42","15.9","6.2","17.0","+2.0"
"16","3","","Dalvin Cook","MIN","RB9","12","5","44","17.9","7.3","20.0","+4.0"
"17","3","","Nick Chubb","CLE","RB10","7","1","71","19.7","10.4","18.0","+1.0"
"18","3","","Mike Evans","TB","WR7","7","7","33","20.8","4.6","21.0","+3.0"
"19","3","","Todd Gurley","LAR","RB11","9","1","57","21.1","12.0","13.0","-6.0"
"20","3","","Tyreek Hill","KC","WR8","12","7","212","22.4","23.7","15.0","-5.0"
"21","4","","Keenan Allen","LAC","WR9","12","9","34","24.6","5.6","24.0","+3.0"
"22","4","","Antonio Brown","OAK","WR10","6","13","73","25.4","8.7","22.0","0.0"
"23","4","","T.Y. Hilton","IND","WR11","6","12","36","26.2","4.5","27.0","+4.0"
"24","4","","George Kittle","SF","TE2","4","8","69","26.3","9.1","29.0","+5.0"
"25","4","","Zach Ertz","PHI","TE3","10","15","69","26.5","8.4","25.0","0.0"
"26","4","","Adam Thielen","MIN","WR12","12","16","55","29.1","5.4","26.0","0.0"
"27","4","","Amari Cooper","DAL","WR13","8","13","49","29.6","5.3","32.0","+5.0"
"28","4","","Stefon Diggs","MIN","WR14","12","16","43","30.1","4.3","35.0","+7.0"
"29","4","","Melvin Gordon","LAC","RB12","12","1","100","30.5","19.5","23.0","-6.0"
"30","4","","Damien Williams","KC","RB13","12","4","61","32.6","13.4","28.0","-2.0"
"31","4","","Julian Edelman","NE","WR15","10","10","68","33.5","7.7","39.0","+8.0"
"32","4","","Kerryon Johnson","DET","RB14","5","4","76","33.8","13.4","30.0","-2.0"
"33","4","","Brandin Cooks","LAR","WR16","9","20","49","34.6","3.4","40.0","+7.0"
"34","4","","Leonard Fournette","JAC","RB15","10","14","61","35.3","12.8","31.0","-3.0"
"35","4","","Robert Woods","LAR","WR17","9","24","73","35.7","6.3","41.0","+6.0"
"36","4","","Devonta Freeman","ATL","RB16","9","11","66","36.0","12.3","34.0","-2.0"
"37","4","","Aaron Jones","GB","RB17","11","14","83","36.3","14.3","33.0","-4.0"
"38","4","","Marlon Mack","IND","RB18","6","17","61","37.9","12.7","36.0","-2.0"
"39","5","","Patrick Mahomes","KC","QB1","12","1","56","38.9","7.0","19.0","-20.0"
"40","5","","Kenny Golladay","DET","WR18","5","30","97","41.4","10.9","42.0","+2.0"
"41","5","","Chris Godwin","TB","WR19","7","25","73","41.8","8.6","46.0","+5.0"
"42","5","","Tyler Lockett","SEA","WR20","11","28","113","47.4","14.7","51.0","+9.0"
"43","5","","Cooper Kupp","LAR","WR21","9","29","86","47.8","12.0","47.0","+4.0"
"44","5","","Tyler Boyd","CIN","WR22","9","33","96","51.1","12.7","59.0","+15.0"
"45","5","","Josh Jacobs","OAK","RB19","6","4","227","51.9","24.7","37.0","-8.0"
