"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std.Dev","ADP","vs..ADP","Pick","Owner"
1,1,NA,"Saquon Barkley","NYG","RB1",11,1,3,1.7,0.8,"1.0",0,10,"Have Nots"
2,1,NA,"Christian McCaffrey","CAR","RB2",7,1,4,2.4,0.9,"2.0",0,11,"Piss & Vinegar"
3,1,NA,"Alvin Kamara","NO","RB3",9,1,5,2.9,1.1,"4.0",1,5,"Gordon Gekko"
4,1,NA,"Ezekiel Elliott","DAL","RB4",8,1,14,3.4,1.9,"3.0",-1,2,"Food For Anubis"
5,2,NA,"David Johnson","ARI","RB5",12,4,18,6.7,3.2,"7.0",2,82,"Have Nots"
6,2,NA,"DeAndre Hopkins","HOU","WR1",10,5,13,7.9,1.3,"5.0",-1,0,""
7,2,NA,"Travis Kelce","KC","TE1",12,8,22,9.2,2.3,"16.0",9,18,"Franks Tanks"
8,2,NA,"Davante Adams","GB","WR2",11,5,20,9.3,2.4,"6.0",-2,40,"IronCity"
9,2,NA,"Julio Jones","ATL","WR3",9,5,16,10.3,2.3,"11.0",2,17,"Fubar"
10,2,NA,"James Conner","PIT","RB6",7,4,21,11.6,4.5,"10.0",0,130,"Have Nots"
11,2,NA,"Le'Veon Bell","NYJ","RB7",4,5,40,12.2,5.2,"8.0",-3,83,"Piss & Vinegar"
12,2,NA,"Michael Thomas","NO","WR4",9,7,32,12.3,2.9,"9.0",-3,9,"IronCity"
13,2,NA,"Odell Beckham Jr.","CLE","WR5",7,7,20,12.7,2.3,"12.0",-1,8,"Fubar"
14,3,NA,"JuJu Smith-Schuster","PIT","WR6",7,7,24,14.1,3.9,"14.0",0,23,"Food For Anubis"
15,3,NA,"Joe Mixon","CIN","RB8",9,6,31,16.1,4.8,"18.0",3,32,"Fubar"
16,3,NA,"Dalvin Cook","MIN","RB9",12,6,42,19.1,4.9,"19.0",3,21,"Devil Cows"
17,3,NA,"Tyreek Hill","KC","WR7",12,7,36,19.3,7.2,"15.0",-2,0,""
18,3,NA,"Nick Chubb","CLE","RB10",7,6,52,20.5,7.9,"23.0",5,129,"IronCity"
19,3,NA,"Mike Evans","TB","WR8",7,14,33,20.8,4.7,"22.0",3,0,""
20,3,NA,"Antonio Brown","OAK","WR9",6,12,29,21.2,4,"20.0",0,0,""
21,4,NA,"Todd Gurley","LAR","RB11",9,3,52,22.8,11.6,"13.0",-8,35,"Domanick Davis"
22,4,NA,"George Kittle","SF","TE2",4,8,53,23.3,2.8,"30.0",8,0,""
23,4,NA,"Keenan Allen","LAC","WR10",12,12,32,24.8,3.7,"24.0",1,0,""
24,4,NA,"Melvin Gordon","LAC","RB12",12,5,83,25.2,13,"17.0",-7,0,""
25,4,NA,"Damien Williams","KC","RB13",12,4,59,26.3,13.8,"26.0",1,13,"Domanick Davis"
26,4,NA,"T.Y. Hilton","IND","WR11",6,18,36,27.1,3.5,"27.0",1,0,""
27,4,NA,"Zach Ertz","PHI","TE3",10,15,69,27.9,10.5,"25.0",-2,101,"Gordon Gekko"
28,4,NA,"Amari Cooper","DAL","WR12",8,13,43,29.2,2.8,"31.0",3,0,""
29,4,NA,"Stefon Diggs","MIN","WR13",12,24,39,30.6,2.8,"35.0",6,0,""
30,4,NA,"Adam Thielen","MIN","WR14",12,16,37,30.9,2.7,"28.0",-2,103,"Franks Tanks"
31,4,NA,"Kerryon Johnson","DET","RB14",5,18,52,33.6,10.7,"32.0",1,51,"O-Dog"
32,5,NA,"Brandin Cooks","LAR","WR15",9,24,48,34.3,3.5,"39.0",7,0,""
33,5,NA,"Julian Edelman","NE","WR16",10,21,58,34.8,5.8,"40.0",7,0,""
34,5,NA,"Robert Woods","LAR","WR17",9,29,43,34.9,2.4,"42.0",8,0,""
35,5,NA,"Aaron Jones","GB","RB15",11,11,80,35.8,12.9,"34.0",-1,124,"Devil Cows"
36,5,NA,"Devonta Freeman","ATL","RB16",9,14,57,36,10.4,"33.0",-3,0,""
37,5,NA,"Leonard Fournette","JAC","RB17",10,18,59,36.6,10.8,"29.0",-8,4,"Devil Cows"
38,5,NA,"Marlon Mack","IND","RB18",6,19,61,36.7,11.7,"37.0",-1,0,""
39,5,NA,"Patrick Mahomes","KC","QB1",12,24,56,39.1,6.1,"21.0",-18,134,"Piss & Vinegar"
40,5,NA,"Kenny Golladay","DET","WR18",5,32,99,39.3,7.6,"43.0",3,126,"Secret Squirrels"
